time_hours,theta,ec_soil,target_ec,ec_drip,irrigation_mm_h,etc_mm_h,q_f,q_a
1.0,0.2204,0.13611615245009073,1.5,0.0,8.16,0.0,5.0,1.0
2.0,0.24080000000000001,0.12458471760797342,1.5,0.0,8.16,0.0,5.0,1.0
3.0,0.2612,0.11485451761102607,1.5,0.0,8.16,0.0,5.0,1.0
4.0,0.28159999999999996,0.10653409090909094,1.5,0.0,8.16,0.0,5.0,1.0
5.0,0.30199999999999994,0.0993377483443709,1.5,0.0,8.16,0.0,5.0,1.0
6.0,0.3223999999999999,0.09305210918114148,1.5,0.0,8.16,0.0,5.0,1.0
7.0,0.3436999999999999,0.15945053711463264,1.5,1.1644671176666297,8.52,0.0,5.0,1.0
