time_day,theta,ec_soil,target_ec,irrigation_mm_h,etc_mm_h,q_f,q_a,event_marker
0.010416666666666666,0.33413020833333335,0.09996103066107588,0.8,0.0,0.0,0.0,0.0,0.0
0.020833333333333332,0.33426037282550014,0.09992209167740086,0.8,0.0,0.0,0.0,0.0,0.0
0.03125,0.33439040585320773,0.099883182998226,0.8,0.0,0.0,0.0,0.0,0.0
0.041666666666666664,0.33452022005863874,0.09984430456276419,0.8,0.0,0.0,0.0,0.0,0.0
0.052083333333333336,0.3346497285842527,0.09980545630029901,0.8,0.0,0.0,0.0,0.0,0.0
0.0625,0.3347788453051151,0.09976663813031998,0.8,0.0,0.0,0.0,0.0,0.0
0.07291666666666667,0.3349074850574347,0.0997278499626832,0.8,0.0,0.0,0.0,0.0,0.0
0.08333333333333333,0.3350355638620226,0.0996890916977967,0.8,0.0,0.0,0.0,0.0,0.0
0.09375,0.33516299914143516,0.09965036322682962,0.8,0.0,0.0,0.0,0.0,0.0
0.10416666666666667,0.33528970992961815,0.099611664431944,0.8,0.0,0.0,0.0,0.0,0.0
0.11458333333333333,0.3354156170729418,0.09957299518654801,0.8,0.0,0.0,0.0,0.0,0.0
0.125,0.335540643421593,0.09953435535556945,0.8,0.0,0.0,0.0,0.0,0.0
0.13541666666666666,0.3356647140103798,0.09949574479574796,0.8,0.0,0.0,0.0,0.0,0.0
0.14583333333333334,0.3357877562280989,0.09945716335594461,0.8,0.0,0.0,0.0,0.0,0.0
0.15625,0.33590969997471887,0.09941861087746717,0.8,0.0,0.0,0.0,0.0,0.0
0.16666666666666666,0.3360304778057368,0.0993800871944096,0.8,0.0,0.0,0.0,0.0,0.0
0.17708333333333334,0.3361500250631795,0.09934159213400413,0.8,0.0,0.0,0.0,0.0,0.0
0.1875,0.33626827999282904,0.09930312551698416,0.8,0.0,0.0,0.0,0.0,0.0
0.19791666666666666,0.3363851838473688,0.09926468715795635,0.8,0.0,0.0,0.0,0.0,0.0
0.20833333333333334,0.3365006809752563,0.09922627686578031,0.8,0.0,0.0,0.0,0.0,0.0
0.21875,0.33661471889524086,0.09918789444395405,0.8,0.0,0.0,0.0,0.0,0.0
0.22916666666666666,0.33672724835655093,0.09914953969100364,0.8,0.0,0.0,0.0,0.0,0.0
0.23958333333333334,0.3368382233848792,0.09911121240087548,0.8,0.0,0.0,0.0,0.0,0.0
0.25,0.3369476013143909,0.0990729123633295,0.8,0.0,0.0,0.0,0.0,0.0
0.2604166666666667,0.3370553428060731,0.09903463936433202,0.8,0.0,0.0,0.0,0.0,0.0
0.2708333333333333,0.3371439708695097,0.09900151442422946,0.8,0.0,0.013952786653169189,0.0,0.0,0.0
0.28125,0.33721173539205446,0.09897411539779359,0.8,0.0,0.02950701479183774,0.0,0.0,0.0
0.2916666666666667,0.33726851081750797,0.09894962657676785,0.8,0.0,0.03740732729126245,0.0,0.0,0.0
0.3020833333333333,0.3372993664798089,0.0989324707397301,0.8,0.0,0.0573820295582566,0.0,0.0,0.0
0.3125,0.3373235444680685,0.09891712388492792,0.8,0.0,0.062304936784804185,0.0,0.0,0.0
0.3229166666666667,0.3373181945543255,0.09891031667471163,0.8,0.0,0.08559600249912519,0.0,0.0,0.0
0.3333333333333333,0.3373243872409088,0.09890015247641666,0.8,0.0,0.0764354282930187,0.0,0.0,0.0
0.34375,0.337293952752651,0.09890069690806953,0.8,0.0,0.10565207189283206,0.0,0.0,0.0
0.3541666666666667,0.3372766310849356,0.09889754898964064,0.8,0.0,0.09557850212731181,0.0,0.0,0.0
0.3645833333333333,0.33723907879089154,0.09890041989034959,0.8,0.0,0.11199844749661109,0.0,0.0,0.0
0.375,0.33715857305439423,0.09891607690439654,0.8,0.0,0.1468673671911498,0.0,0.0,0.0
0.3854166666666667,0.33710787135339587,0.09892338428142848,0.8,0.0,0.1240896105885089,0.0,0.0,0.0
0.3958333333333333,0.33700379310854023,0.098946603657566,0.8,0.0,0.16744810725861725,0.0,0.0,0.0
0.40625,0.33689679995211563,0.09897117505921849,0.8,0.0,0.17109590955979898,0.0,0.0,0.0
0.4166666666666667,0.3367664409972444,0.0990031087469412,0.8,0.0,0.19109455738524275,0.0,0.0,0.0
0.4270833333333333,0.33662994285285347,0.09903743267524319,0.8,0.0,0.19753312490443176,0.0,0.0,0.0
0.4375,0.33652105979935687,0.09906421310935885,0.8,0.0,0.17696483864703186,0.0,0.0,0.0
0.4479166666666667,0.33642690365963274,0.09908709885136857,0.8,0.0,0.1663435443149963,0.0,0.0,0.0
0.4583333333333333,0.33628958146241367,0.09912307298954257,0.8,0.0,0.20184015199611582,0.0,0.0,0.0
0.46875,0.33614786506004934,0.09916086498552466,0.8,0.0,0.206695358585527,0.0,0.0,0.0
0.4791666666666667,0.3359967553779731,0.0992019404933617,0.8,0.0,0.21551089393427406,0.0,0.0,0.0
0.4895833333333333,0.33587215807069365,0.09923569599449959,0.8,0.0,0.19559659602135124,0.0,0.0,0.0
0.5,0.3357319474098125,0.0992744605299509,0.8,0.0,0.20908450170239778,0.0,0.0,0.0
0.5104166666666666,0.33561218614579036,0.09930759162155355,0.8,0.0,0.19377036149655533,0.0,0.0,0.0
0.5208333333333334,0.33546638502313836,0.09934876328905597,0.8,0.0,0.21543075221650212,0.0,0.0,0.0
0.53125,0.3353276274728943,0.09938822612483832,0.8,0.0,0.21072444279320873,0.0,0.0,0.0
0.5416666666666666,0.3352136913977491,0.09942065591875349,0.8,0.0,0.1916692721838978,0.0,0.0,0.0
0.5520833333333334,0.33511496998914075,0.09944881415083044,0.8,0.0,0.18009652257210612,0.0,0.0,0.0
0.5625,0.3350026866872696,0.09948119224981414,0.8,0.0,0.1914216047328774,0.0,0.0,0.0
0.5729166666666666,0.33489235508838433,0.09951319444559965,0.8,0.0,0.19035212924296685,0.0,0.0,0.0
0.5833333333333334,0.3347784735725174,0.09954643375310285,0.8,0.0,0.19362458983377337,0.0,0.0,0.0
0.59375,0.33467812722559465,0.09957581458963899,0.8,0.0,0.18319007696883294,0.0,0.0,0.0
0.6041666666666666,0.3346219089514349,0.09959219000431621,0.8,0.0,0.14818998732335711,0.0,0.0,0.0
0.6145833333333334,0.3345802431406129,0.09960429467547852,0.8,0.0,0.1366992081877774,0.0,0.0,0.0
0.625,0.33453937209800516,0.09961620422940594,0.8,0.0,0.13616701127691236,0.0,0.0,0.0
0.6354166666666666,0.33449526498831705,0.09962911575216644,0.8,0.0,0.1388505276757222,0.0,0.0,0.0
0.6458333333333334,0.3344488276715628,0.09964276004047216,0.8,0.0,0.14080909749674345,0.0,0.0,0.0
0.65625,0.33443292745857633,0.09964734223301447,0.8,0.0,0.11647010800432926,0.0,0.0,0.0
0.6666666666666666,0.3344211966507881,0.0996506932436936,0.8,0.0,0.11316358701550763,0.0,0.0,0.0
0.6770833333333334,0.3344208395847592,0.0996506629444532,0.8,0.0,0.10408532094124696,0.0,0.0,0.0
0.6875,0.3344539299153595,0.09964066721658836,0.8,0.0,0.07732802561418867,0.0,0.0,0.0
0.6979166666666666,0.33449231600708895,0.09962907380667686,0.8,0.0,0.07303153568017576,0.0,0.0,0.0
0.7083333333333334,0.33455082486340965,0.09961146325253263,0.8,0.0,0.05685818378996279,0.0,0.0,0.0
0.71875,0.33462127254163315,0.09959025853829849,0.8,0.0,0.047180868211533084,0.0,0.0,0.0
0.7291666666666666,0.334701226935476,0.09956617114944759,0.8,0.0,0.03940468114403837,0.0,0.0,0.0
0.7395833333333334,0.33480059227472214,0.09953624280836047,0.8,0.0,0.02365718272378564,0.0,0.0,0.0
0.75,0.3349111175453764,0.09950290189801436,0.8,0.0,0.014420530152411746,0.0,0.0,0.0
0.7604166666666666,0.335039179267657,0.0994642314743156,0.8,0.0,0.0,0.0,0.0,0.0
0.7708333333333334,0.3351665951504562,0.09942559077445487,0.8,0.0,0.0,0.0,0.0,0.0
0.78125,0.33529328427628724,0.09938697968060797,0.8,0.0,0.0,0.0,0.0,0.0
0.7916666666666666,0.3354191675456409,0.09934839806622396,0.8,0.0,0.0,0.0,0.0,0.0
0.8020833333333334,0.33554416786809066,0.09930984579629859,0.8,0.0,0.0,0.0,0.0,0.0
0.8125,0.33566821034278516,0.09927132272766626,0.8,0.0,0.0,0.0,0.0,0.0
0.8229166666666666,0.33579122242748055,0.0992328287093095,0.8,0.0,0.0,0.0,0.0,0.0
0.8333333333333334,0.3359131340953687,0.09919436358268385,0.8,0.0,0.0,0.0,0.0,0.0
0.84375,0.3360338779790632,0.09915592718205711,0.8,0.0,0.0,0.0,0.0,0.0
0.8541666666666666,0.3361533895012155,0.09911751933486077,0.8,0.0,0.0,0.0,0.0,0.0
0.8645833333333334,0.336271606991346,0.09907913986205248,0.8,0.0,0.0,0.0,0.0,0.0
0.875,0.3363884717885882,0.09904078857848755,0.8,0.0,0.0,0.0,0.0,0.0
0.8854166666666666,0.33650392833015597,0.09900246529329794,0.8,0.0,0.0,0.0,0.0,0.0
0.8958333333333334,0.3366179242254547,0.09896416981027696,0.8,0.0,0.0,0.0,0.0,0.0
0.90625,0.33673041031586476,0.09892590192826824,0.8,0.0,0.0,0.0,0.0,0.0
0.9166666666666666,0.33684134072032734,0.09888766144155708,0.8,0.0,0.0,0.0,0.0,0.0
0.9270833333333334,0.3369506728669615,0.09884944814026292,0.8,0.0,0.0,0.0,0.0,0.0
0.9375,0.33705836751103246,0.09881126181073101,0.8,0.0,0.0,0.0,0.0,0.0
0.9479166666666666,0.3371643887396744,0.09877310223592232,0.8,0.0,0.0,0.0,0.0,0.0
0.9583333333333334,0.33726870396384984,0.09873496919579987,0.8,0.0,0.0,0.0,0.0,0.0
0.96875,0.33737128389809407,0.09869686246771041,0.8,0.0,0.0,0.0,0.0,0.0
0.9791666666666666,0.33747210252865567,0.09865878182676009,0.8,0.0,0.0,0.0,0.0,0.0
0.9895833333333334,0.33757113707069414,0.09862072704618308,0.8,0.0,0.0,0.0,0.0,0.0
1.0,0.33766836791523985,0.098582697897702,0.8,0.0,0.0,0.0,0.0,0.0
1.0104166666666667,0.3377637785666553,0.0985446941518793,0.8,0.0,0.0,0.0,0.0,0.0
1.0208333333333333,0.33785735557136304,0.09850671557845839,0.8,0.0,0.0,0.0,0.0,0.0
1.03125,0.3379490884386235,0.0984687619466943,0.8,0.0,0.0,0.0,0.0,0.0
