time_s,irrigation_mm_h,ec_drip,n_drip,p_drip,k_drip
2006400.000000,0.000000000,1.100000086,0.008252028,0.007240380,0.008955445
2032800.000000,0.000000000,1.100000086,0.008348657,0.007366111,0.009049423
2059200.000000,0.000000000,0.952955409,0.008440416,0.007472149,0.009108446
2085600.000000,0.000000000,0.951794966,0.008661850,0.007622381,0.009311712
2112000.000000,0.000000000,0.951785808,0.008764292,0.007731306,0.009385472
2138400.000000,0.000000000,1.008787074,0.008817322,0.007816571,0.009418989
2164800.000000,0.000000000,1.009236915,0.009000094,0.007942556,0.009590773
2191200.000000,0.000000000,1.009240465,0.009049626,0.008016147,0.009685145
2217600.000000,0.000000000,1.057978684,0.009012006,0.008035772,0.009772860
2244000.000000,0.000000000,1.071386827,0.009108903,0.008095348,0.009992352
2270400.000000,0.000000000,1.071492641,0.009242355,0.008160408,0.010164727
2296800.000000,0.000000000,1.090923950,0.009231665,0.008177013,0.010168261
2323200.000000,0.000000000,1.096890364,0.009313867,0.008231250,0.010291462
2349600.000000,0.000000000,1.096937449,0.009413034,0.008271092,0.010366753
2376000.000000,0.000000000,1.096937821,0.009366489,0.008241870,0.010280798
2402400.000000,0.000000000,1.099975901,0.009256075,0.008215674,0.010206926
2428800.000000,0.000000000,1.099999877,0.009274079,0.008243537,0.010284556
2455200.000000,0.000000000,1.100000066,0.009169501,0.008217084,0.010210073
2481600.000000,0.000000000,1.100000068,0.009012008,0.008194709,0.010147676
2508000.000000,0.000000000,1.100000068,0.009020127,0.008227980,0.010241068
2534400.000000,0.000000000,1.100000068,0.009094072,0.008252669,0.010309616
2560800.000000,0.000000000,1.100000068,0.009017254,0.008224809,0.010231067
2587200.000000,0.000000000,1.100000068,0.009093452,0.008250316,0.010302276
2613600.000000,0.000000000,1.100000068,0.009174602,0.008269246,0.010354541
2640000.000000,0.000000000,1.100000068,0.009121991,0.008238830,0.010268703
2666400.000000,0.000000000,1.100000068,0.009179677,0.008260721,0.010329900
2692800.000000,0.000000000,1.100000068,0.009265029,0.008277619,0.010374817
2719200.000000,0.000000000,1.100000068,0.009212641,0.008245355,0.010285689
2745600.000000,0.000000000,1.100000068,0.009121493,0.008218622,0.010211024
2772000.000000,0.000000000,1.100000068,0.009155427,0.008245725,0.010287563
2798400.000000,0.000000000,1.100000068,0.009068300,0.008218935,0.010212593
2824800.000000,0.000000000,1.100000068,0.008942467,0.008196274,0.010149787
2851200.000000,0.000000000,1.100000068,0.009034527,0.008229141,0.010242617
2877600.000000,0.000000000,1.100000068,0.009106505,0.008253532,0.010310752
2904000.000000,0.000000000,1.100000068,0.009037692,0.008225538,0.010232020
2930400.000000,0.000000000,1.100000068,0.009100718,0.008250857,0.010302975
2956800.000000,0.000000000,1.100000068,0.009177916,0.008269647,0.010355054
2983200.000000,0.000000000,1.100000068,0.009131918,0.008239169,0.010269134
3009600.000000,0.000000000,1.100000068,0.009037240,0.008213389,0.010197154
3036000.000000,0.000000000,1.100000068,0.009070563,0.008241842,0.010277384
3062400.000000,0.000000000,1.100000068,0.008999730,0.008215650,0.010204065
3088800.000000,0.000000000,1.100000068,0.008940391,0.008193496,0.010142642
3115200.000000,0.000000000,1.100000068,0.009033003,0.008227080,0.010237373
3141600.000000,0.000000000,1.100000068,0.008968265,0.008203164,0.010170546
3168000.000000,0.000000000,1.100000068,0.008914030,0.008182934,0.010114562
3194400.000000,0.000000000,1.100000068,0.009013655,0.008219242,0.010216763
3220800.000000,0.000000000,1.100000068,0.009088720,0.008246185,0.010291776
3247200.000000,0.000000000,1.100000068,0.009013285,0.008219324,0.010216122
3273600.000000,0.000000000,1.100000068,0.009088807,0.008246247,0.010291306
3300000.000000,0.000000000,1.100000068,0.009167208,0.008266225,0.010346489
3326400.000000,0.000000000,1.100000068,0.009123920,0.008236274,0.010261958
3352800.000000,0.000000000,1.100000068,0.009016698,0.008210941,0.010191143
3379200.000000,0.000000000,1.100000068,0.009067416,0.008240025,0.010272972
3405600.000000,0.000000000,1.100000068,0.008997094,0.008214114,0.010200368
3432000.000000,0.000000000,1.100000068,0.008938183,0.008192196,0.010139546
3458400.000000,0.000000000,1.100000068,0.009031382,0.008226115,0.010235100
3484800.000000,0.000000000,1.100000068,0.009104604,0.008251286,0.010305235
3511200.000000,0.000000000,1.100000068,0.009037584,0.008223639,0.010227398
3537600.000000,0.000000000,1.100000068,0.009097387,0.008249448,0.010299582
3564000.000000,0.000000000,1.100000068,0.009187941,0.008268601,0.010352564
3590400.000000,0.000000000,1.100000068,0.009143135,0.008238285,0.010267048
3616800.000000,0.000000000,1.100000068,0.009203104,0.008260316,0.010328684
3643200.000000,0.000000000,1.100000068,0.009311295,0.008277406,0.010373924
3669600.000000,0.000000000,1.100000068,0.009285606,0.008245101,0.010284942
3696000.000000,0.000000000,1.100000068,0.009193552,0.008218407,0.010210397
3722400.000000,0.000000000,1.100000068,0.009204828,0.008245566,0.010287104
3748800.000000,0.000000000,1.100000068,0.009115754,0.008218800,0.010212208
3775200.000000,0.000000000,1.100000068,0.008987886,0.008196159,0.010149464
3801600.000000,0.000000000,1.100000068,0.009031736,0.008229056,0.010242381
3828000.000000,0.000000000,1.100000068,0.009106205,0.008253469,0.010310579
3854400.000000,0.000000000,1.100000068,0.009030693,0.008225484,0.010231874
3880800.000000,0.000000000,1.102039081,0.009115377,0.008266233,0.010322118
3907200.000000,0.000000000,1.102055172,0.009189724,0.008284982,0.010374081
3933600.000000,0.000000000,1.102055299,0.009134146,0.008254465,0.010288052
3960000.000000,0.000000000,1.102055300,0.009037421,0.008228652,0.010215981
3986400.000000,0.000000000,1.102055300,0.009087142,0.008257086,0.010296158
4012800.000000,0.000000000,1.102055300,0.009002780,0.008218584,0.010207514
4039200.000000,0.000000000,1.100423482,0.008943468,0.008196442,0.010146127
4065600.000000,0.000000000,1.100410604,0.009036131,0.008230048,0.010240918
4092000.000000,0.000000000,1.100410502,0.009184198,0.008397553,0.010415550
4118400.000000,0.000000000,1.139474645,0.009251866,0.008488539,0.010500932
4144800.000000,0.000000000,1.125122730,0.009219556,0.008408387,0.010451533
4171200.000000,0.000000000,1.125009467,0.009081483,0.008245271,0.010285172
4197600.000000,0.000000000,1.100604631,0.009008993,0.008219015,0.010211185
4224000.000000,0.000000000,1.100412033,0.009085352,0.008246799,0.010288672
4250400.000000,0.000000000,1.100410513,0.009168388,0.008279776,0.010361013
4276800.000000,0.000000000,1.100410501,0.009102612,0.008250062,0.010277104
4303200.000000,0.000000000,1.102042320,0.009003195,0.008224928,0.010206809
4329600.000000,0.000000000,1.102055198,0.009069334,0.008242001,0.010274068
4356000.000000,0.000000000,1.102055299,0.012742024,0.011393334,0.014783361
4382400.000000,0.000000000,1.496859519,0.012666506,0.011337710,0.014739024
4408800.000000,0.000000000,1.499975322,0.012717258,0.011337054,0.014822873
4435200.000000,0.000000000,1.499999911,0.012776347,0.011343114,0.014905340
4461600.000000,0.000000000,1.499999998,0.012648444,0.011292839,0.014777485
4488000.000000,0.000000000,1.499999987,0.012666958,0.011310387,0.014809303
4514400.000000,0.000000000,1.499999987,0.012701298,0.011323396,0.014843295
4540800.000000,0.000000000,1.500000089,0.012562623,0.011276189,0.014685891
4567200.000000,0.000000000,1.499999936,0.012554165,0.011298094,0.014689073
4593600.000000,0.000000000,1.499999934,0.012573259,0.011314330,0.014707781
4620000.000000,0.000000000,1.499999934,0.012429360,0.011268540,0.014526860
4646400.000000,0.000000000,1.500000028,0.012281746,0.011229825,0.014304983
4672800.000000,0.000000000,1.500000028,0.012376597,0.011263819,0.014265600
4699200.000000,0.000000000,1.500000028,0.012276366,0.011225839,0.014005344
4725600.000000,0.000000000,1.500000013,0.012192414,0.011193721,0.013900359
4752000.000000,0.000000000,1.310392727,0.010669944,0.009760878,0.012183807
4778400.000000,0.000000000,1.308896390,0.010917062,0.009924865,0.012469947
4804800.000000,0.000000000,1.338487958,0.010955270,0.010004625,0.012508947
4831200.000000,0.000000000,1.351204344,0.011164574,0.010140062,0.012751738
4857600.000000,0.000000000,1.351304699,0.011329092,0.010249914,0.012941576
4884000.000000,0.000000000,1.351305491,0.011297154,0.010277170,0.012900921
4910400.000000,0.000000000,1.376151543,0.011260154,0.010290540,0.012854665
4936800.000000,0.000000000,1.376347622,0.011388442,0.010352347,0.013005594
4963200.000000,0.000000000,1.376349169,0.011300957,0.010322076,0.012901946
4989600.000000,0.000000000,1.379971262,0.011224226,0.010293377,0.012811216
5016000.000000,0.000000000,1.379999846,0.011342660,0.010336952,0.012951720
5042400.000000,0.000000000,1.380000072,0.011259161,0.010305959,0.012852915
5068800.000000,0.000000000,1.380000074,0.011189211,0.010279746,0.012770140
5095200.000000,0.000000000,1.380000074,0.011317008,0.010326854,0.012921628
5121600.000000,0.000000000,1.380000074,0.011410631,0.010361748,0.013032608
5148000.000000,0.000000000,1.380000074,0.011316105,0.010326934,0.012920678
5174400.000000,0.000000000,1.380000074,0.011409969,0.010361807,0.013031911
5200800.000000,0.000000000,1.380000074,0.011478734,0.010387638,0.013113401
5227200.000000,0.000000000,1.380000074,0.011373159,0.010348833,0.012988362
5253600.000000,0.000000000,1.380000074,0.011284713,0.010316010,0.012883611
5280000.000000,0.000000000,1.380000074,0.011386971,0.010353715,0.013004757
5306400.000000,0.000000000,1.380000074,0.011296284,0.010320140,0.012897346
5332800.000000,0.000000000,1.380000074,0.011220311,0.010291740,0.012807363
5359200.000000,0.000000000,1.380000074,0.011339791,0.010335738,0.012948897
5385600.000000,0.000000000,1.380000074,0.011427322,0.010368328,0.013052585
5412000.000000,0.000000000,1.380000074,0.011330088,0.010332500,0.012937414
5438400.000000,0.000000000,1.380000074,0.011420214,0.010365930,0.013044172
5464800.000000,0.000000000,1.380000074,0.011487537,0.010390691,0.013122384
5491200.000000,0.000000000,1.380000074,0.011379426,0.010351416,0.012995887
5517600.000000,0.000000000,1.380000074,0.011456358,0.010379941,0.013087010
5544000.000000,0.000000000,1.380000074,0.011518236,0.010401069,0.013158174
5570400.000000,0.000000000,1.380000074,0.011407424,0.010360194,0.013022109
5596800.000000,0.000000000,1.380000074,0.011308400,0.010325619,0.012911883
5623200.000000,0.000000000,1.380000074,0.011404324,0.010360834,0.013025469
5649600.000000,0.000000000,1.380000074,0.011310822,0.010326161,0.012914697
5676000.000000,0.000000000,1.380000074,0.011232490,0.010296832,0.012821898
5702400.000000,0.000000000,1.380000074,0.011348714,0.010339511,0.012959546
5728800.000000,0.000000000,1.380000074,0.011433859,0.010371123,0.013060386
5755200.000000,0.000000000,1.380000074,0.011335564,0.010334863,0.012943949
5781600.000000,0.000000000,1.380000074,0.011424225,0.010367681,0.013048961
5808000.000000,0.000000000,1.380000074,0.011491075,0.010391988,0.013125891
